year,pickup_community_area,median_fare
2023-01-01,1,15.9
2023-01-01,2,13.73
2023-01-01,3,15.84
2023-01-01,4,15.74
2023-01-01,5,15.99
2023-01-01,6,16.23
2023-01-01,7,15.29
2023-01-01,8,16.29
2023-01-01,9,16.23
2023-01-01,10,16.1
2023-01-01,11,16.1
2023-01-01,12,18.38
2023-01-01,13,14.58
2023-01-01,14,15.78
2023-01-01,15,15.83
2023-01-01,16,15.97
2023-01-01,17,15.86
2023-01-01,18,15.68
2023-01-01,19,14.48
2023-01-01,20,15.32
2023-01-01,21,15.73
2023-01-01,22,15.76
2023-01-01,23,15.35
2023-01-01,24,15.66
2023-01-01,25,13.83
2023-01-01,26,13.73
2023-01-01,27,13.73
2023-01-01,28,16.23
2023-01-01,29,13.73
2023-01-01,30,16.04
2023-01-01,31,16.23
2023-01-01,32,17.82
2023-01-01,33,19.04
2023-01-01,34,16.23
2023-01-01,35,15.83
2023-01-01,36,15.95
2023-01-01,37,13.39
2023-01-01,38,15.79
2023-01-01,39,16.23
2023-01-01,40,13.94
2023-01-01,41,13.73
2023-01-01,42,13.73
2023-01-01,43,15.75
2023-01-01,44,13.73
2023-01-01,45,13.73
2023-01-01,46,15.99
2023-01-01,47,13.73
2023-01-01,48,14.92
2023-01-01,49,14.44
2023-01-01,50,13.9
2023-01-01,51,15.64
2023-01-01,52,17.29
2023-01-01,53,16.1
2023-01-01,54,16.38
2023-01-01,55,16.51
2023-01-01,56,38.03
2023-01-01,57,14.65
2023-01-01,58,14.44
2023-01-01,59,14.85
2023-01-01,60,16.19
2023-01-01,61,14.93
2023-01-01,62,14.73
2023-01-01,63,15.16
2023-01-01,64,16.22
2023-01-01,65,14.79
2023-01-01,66,15.85
2023-01-01,67,14.12
2023-01-01,68,13.73
2023-01-01,69,13.66
2023-01-01,70,15.73
2023-01-01,71,14.28
2023-01-01,72,16.23
2023-01-01,73,14.46
2023-01-01,74,16.13
2023-01-01,75,15.09
2023-01-01,76,45.36
2023-01-01,77,16.14
2024-01-01,1,15.86
2024-01-01,2,13.73
2024-01-01,3,15.89
2024-01-01,4,15.92
2024-01-01,5,16.23
2024-01-01,6,16.23
2024-01-01,7,15.62
2024-01-01,8,17.03
2024-01-01,9,17.6
2024-01-01,10,16.23
2024-01-01,11,16.23
2024-01-01,12,18.73
2024-01-01,13,15.07
2024-01-01,14,15.91
2024-01-01,15,15.94
2024-01-01,16,16.23
2024-01-01,17,16.05
2024-01-01,18,15.8
2024-01-01,19,14.99
2024-01-01,20,15.76
2024-01-01,21,16.14
2024-01-01,22,16.23
2024-01-01,23,15.71
2024-01-01,24,16.14
2024-01-01,25,14.48
2024-01-01,26,13.73
2024-01-01,27,13.97
2024-01-01,28,16.84
2024-01-01,29,14.25
2024-01-01,30,16.45
2024-01-01,31,16.73
2024-01-01,32,17.98
2024-01-01,33,20.19
2024-01-01,34,17.03
2024-01-01,35,16.22
2024-01-01,36,16.23
2024-01-01,37,13.53
2024-01-01,38,16.23
2024-01-01,39,16.23
2024-01-01,40,14.8
2024-01-01,41,12.35
2024-01-01,42,13.73
2024-01-01,43,16.23
2024-01-01,44,13.95
2024-01-01,45,14.93
2024-01-01,46,16.23
2024-01-01,47,14.82
2024-01-01,48,16.23
2024-01-01,49,15.73
2024-01-01,50,14.93
2024-01-01,51,16.23
2024-01-01,52,18.04
2024-01-01,53,16.23
2024-01-01,54,17.09
2024-01-01,55,17.86
2024-01-01,56,38.73
2024-01-01,57,15.41
2024-01-01,58,15.21
2024-01-01,59,15.55
2024-01-01,60,16.37
2024-01-01,61,15.7
2024-01-01,62,14.99
2024-01-01,63,15.94
2024-01-01,64,16.23
2024-01-01,65,15.21
2024-01-01,66,16.23
2024-01-01,67,15.24
2024-01-01,68,14.04
2024-01-01,69,13.73
2024-01-01,70,16.14
2024-01-01,71,15.46
2024-01-01,72,17.44
2024-01-01,73,15.95
2024-01-01,74,17.36
2024-01-01,75,16.23
2024-01-01,76,46.95
2024-01-01,77,16.18
